"Presumed Gender","Animal"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Female","Dog"
"Female","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Female","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Female","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Female","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Female","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Female","Dog"
"Female","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Female","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Female","Dog"
"Male","Dog"
"Female","Dog"
"Female","Dog"
"Female","Dog"
"Female","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Female","Dog"
"Male","Dog"
"Female","Dog"
"Male","Dog"
"Male","Dog"
"Female","Dog"
"Female","Dog"
"Female","Cat"
"Male","Cat"
"Male","Cat"
"Male","Cat"
"Male","Cat"
"Female","Cat"
"Male","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Male","Cat"
"Male","Cat"
"Male","Cat"
"Male","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Male","Cat"
"Female","Cat"
"Female","Cat"
"Male","Cat"
"Female","Cat"
"Male","Cat"
"Female","Cat"
"Male","Cat"
"Female","Cat"
"Male","Cat"
"Male","Cat"
"Male","Cat"
"Male","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Male","Cat"
"Female","Cat"
"Female","Cat"
"Male","Cat"
"Male","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Male","Cat"
"Male","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Male","Cat"
"Female","Cat"
"Male","Cat"
"Male","Cat"
"Female","Cat"
"Male","Cat"
"Male","Cat"
"Male","Cat"
"Female","Cat"
"Female","Cat"
"Male","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
"Female","Cat"
